,x
Pseudorca_crassidens,7867.055857
Pterodon_dasyuroides,2819.162402
Pteronarctos_goedertae,2420.371461
Pteropus_niger,906.3294693
Ptilocercus_lowii,451.182235
Puelia_coarctatus,1867.981934
Puma_concolor,2302.947413
Ratufa_affinis,824.5679213
Reithrodontomys_megalotis,236.0907993
Rhinolophus_acuminatus,258.1234309
Rhinonicteris_aurantia,205.6507785
Rhinopoma_hardwickii,237.1102217
Rhizomys_sinensis,864.9671387
Rhynchocyon_petersi,841.0364861
Saccolaimus_saccolaimus,348.4455264
Saiga_tatarica,2602.323327
Saimiri_sciureus,740.0830026
Scalopus_aquaticus,349.2477323
Scelidotherium_sp,5633.619652
Schizodelphis_morckhoviensis,9074.871605
Sigmodon_leucotis,385.7977929
Sinorhinus_cornutus,6375.872214
Smilodon_sp,3914.602084
Solenodon_paradoxus,945.8572472
Sorex_monticolus,186.6843266
Spalax_leucodon,501.1665088
Coendou_spinosus,910.6431377
Stegotherium_tesselatum,1670.547579
Steno_bredanensis,5653.038937
Stenopsochoerus_sternbergi,1847.790621
Stromeriella_franconica,1118.550665
Sus_scrofa,3856.951395
Syndyoceras_cooki,3528.462766
Tachyoryctes_splendens,492.9186511
Tadarida_brasiliensis,203.5004052
Talpa_occidentalis,459.9382
Tamandua_tetradactyla,1602.363283
Tamias_striatus,478.8675401
Tamiasciurus_douglasii,601.0538133
Tarsius_tarsier,469.3470122
Taxidea_taxus,1450.494318
Tayassu_pecari,2950.769516
Teleoceras_medicornutus,6885.773546
Tenrec_ecaudatus,1169.800861
Tetracerus_quadricornis,2176.916904
Thalassocnus_sp,2921.232999
Thoatherium_minisculum,2032.813842
Thomomys_talpoides,423.0865028
Thryonomys_swinderianus,1138.273603
Thyroptera_tricolor,174.6629782
Tolypeutes_tricinctus,878.4372102
Tomopeas_ravus,158.8003363
Tragelaphus_scriptus,2508.630136
Tragulus_javanicus,1112.245045
Trichechus_senegalensis,3223.157369
Trogosus_grangeri,3613.254532
Tupaia_glis,589.8708477
Tursiops_truncatus,6179.729341
Tylomys_nudicaudus,619.3812292
Tympanoctomys_barrerae,393.5883249
Uintatherium_anceps,7329.958944
Ictidomys_tridecemlineatus,512.4398901
Vampyrum_spectrum,586.7798502
Viverra_tangalunga,1447.724871
Vulpes_pallida,1277.786077
Xiphiacetus_bossi,10863.41282
Zalophus_californianus,2705.945115
Zapus_hudsonius,250.7115655
Zodiolestes_sp,1507.811968
