Trend Age;Trend Temperature;Trend Temperature (long)
46.4;11.71;11.70
46.5;11.63;11.78
46.6;11.57;11.86
46.7;11.55;11.93
46.8;11.56;12.00
46.9;11.61;12.07
47.0;11.69;12.13
47.1;11.81;12.18
47.2;12.01;12.24
47.3;12.31;12.28
47.4;12.62;12.33
47.5;12.90;12.38
47.6;13.14;12.44
47.7;13.28;12.49
47.8;13.21;12.55
47.9;13.06;12.61
48.0;12.81;12.68
48.1;12.52;12.75
48.2;12.25;12.82
48.3;12.12;12.89
48.4;12.21;12.95
48.5;12.48;13.01
48.6;12.81;13.07
48.7;13.07;13.13
48.8;13.22;13.18
48.9;13.28;13.23
49.0;13.32;13.28
49.1;13.40;13.33
49.2;13.57;13.38
49.3;13.78;13.43
49.4;13.99;13.49
49.5;14.11;13.54
49.6;14.09;13.60
49.7;13.94;13.64
49.8;13.71;13.69
49.9;13.54;13.73
50.0;13.46;13.76
50.1;13.50;13.79
50.2;13.62;13.81
50.3;13.76;13.82
50.4;13.92;13.83
50.5;14.13;13.83
50.6;14.34;13.83
50.7;14.51;13.82
50.8;14.63;13.82
50.9;14.66;13.81
51.0;14.55;13.80
51.1;14.33;13.79
51.2;14.02;13.78
51.3;13.61;13.77
51.4;13.16;13.75
51.5;12.88;13.73
51.6;12.89;13.71
51.7;13.11;13.68
51.8;13.39;13.65
51.9;13.63;13.62
52.0;13.75;13.57
52.1;13.74;13.53
52.2;13.65;13.48
52.3;13.56;13.43
52.4;13.53;13.38
52.5;13.55;13.34
52.6;13.62;13.29
52.7;13.66;13.25
52.8;13.63;13.22
52.9;13.50;13.19
53.0;13.32;13.16
53.1;13.14;13.14
53.2;13.00;13.12
53.3;12.89;13.10
53.4;12.79;13.08
53.5;12.71;13.06
53.6;12.63;13.04
53.7;12.57;13.02
53.8;12.53;13.00
53.9;12.49;12.99
54.0;12.45;12.97
54.1;12.48;12.95
54.2;12.63;12.93
54.3;12.87;12.91
54.4;13.13;12.89
54.5;13.28;12.87
54.6;13.30;12.85
54.7;13.23;12.83
54.8;13.14;12.81
54.9;13.07;12.78
55.0;13.02;12.76
55.1;12.97;12.73
55.2;12.93;12.70
55.3;12.91;12.67
55.4;12.95;12.64
55.5;13.05;12.60
55.6;13.12;12.56
55.7;13.05;12.51
55.8;12.88;12.45
55.9;12.58;12.39
56.0;12.15;12.32
56.1;11.73;12.24
56.2;11.48;12.16
56.3;11.46;12.07
56.4;11.68;11.97
56.5;12.01;11.87
56.6;12.26;11.77
56.7;12.30;11.66
56.8;12.15;11.55
56.9;11.91;11.43
57.0;11.68;11.32
57.1;11.48;11.20
57.2;11.30;11.09
57.3;11.14;10.97
57.4;10.97;10.86
57.5;10.80;10.75
57.6;10.64;10.65
