AZ_order,Filename,Tip_Label,Final_name,Superorder,Order,Order_colour,Family,Collection,Specimen,Scan Location,Status,Geologic Age,Habitat,Locomotion,Diet,Social,Activity,Development
43,Canis_lupus,Canis_lupus,Canis_lupus,Laurasiatheria,Carnivora,#33CCFF,Canidae,MNHN-ZO-AC,2015-1255,Phenome10K,Extant,Recent,Closed,Terrestrial,Carnivore,Social,Diurnal,Altricial
44,Caperea_marginata,Caperea_marginata,Caperea_marginata,Laurasiatheria,Cetacea,#0000CC,Cetotheriidae,NHMUK ZD,1876.2.16.1,Phenome10K,Extant,Recent,Aquatic,Aquatic,Bulk invertivore,Social,All,Precocial
45,Capra_ibex,Capra_ibex,Capra_ibex,Laurasiatheria,Artiodactyla,#6699FF,Bovidae,NHMUK ZD,1935.12.12.3,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Social,Diurnal,Precocial
46,Capricornis_sumatraensis,Capricornis_sumatraensis,Naemorhedus_sumatraensis,Laurasiatheria,Artiodactyla,#6699FF,Bovidae,NHMUK ZD,1924.5.29.1,Phenome10K,Extant,Recent,Closed,Terrestrial,Herbivore,Solitary,Diurnal,Precocial
47,Cardioderma_cor,Cardioderma_cor,Cardioderma_cor,Laurasiatheria,Chiroptera,#FF00FF,Megadermatidae,AMNH,M-219723,Morphosource,Extant,Recent,Closed,Volant,Invertivore,Social,Nocturnal,Altricial
48,Carterodon_sulcidens,Carterodon_sulcidens,Carterodon_sulcidens,Euarchontaglires,Rodentia,#A1D99B,Echimyidae,NHMUK PV M,17617,Phenome10K,Extant,Recent,Open,Semi-fossorial,Herbivore,Solitary,Nocturnal,Altricial
49,Castor_canadensis,Castor_canadensis,Castor_canadensis,Euarchontaglires,Rodentia,#A1D99B,Castoridae,UMN,12157,Phenome10K,Extant,Recent,Closed,Aquatic,Herbivore,Social,Nocturnal,Precocial
50,Castoroides_ohioensis,Castoroides_ohioensis,Castoroides_ohioensis,Euarchontaglires,Rodentia,#A1D99B,Castoridae,NHMUK PV M,7226,Phenome10K,Extinct,Pleistocene,,Semi-aquatic,Herbivore,,,
51,Cavia_aperea,Cavia_aperea,Cavia_aperea,Euarchontaglires,Rodentia,#A1D99B,Caviidae,NHMUK ZD,1901.11.3.78,Phenome10K,Extant,Recent,Open,Terrestrial,Herbivore,Social,Diurnal,Precocial
52,Cebupithecus_sarmientoi,Cebupithecia_sarmientai,Cebupithecus_sarmientoi,Euarchontaglires,Primates,#006D2C,Cebidae,AMNH,FM 45974,Morphosource,Extinct,Miocene,,Arboreal,Omnivore,,,
