,x
Tenrec_ecaudatus,1178.077422
Tetracerus_quadricornis,2176.84121
Thalassocnus_sp,2921.214775
Thoatherium_minisculum,2032.821915
Thomomys_talpoides,423.1058097
Thryonomys_swinderianus,1138.334281
Thyroptera_tricolor,174.657834
Tolypeutes_tricinctus,878.3876891
Tomopeas_ravus,158.7932196
Tragelaphus_scriptus,2508.604896
Tragulus_javanicus,1112.226477
Trichechus_senegalensis,3223.133052
Trogosus_grangeri,3613.255304
Tupaia_glis,589.8691808
Tursiops_truncatus,6179.848141
Tylomys_nudicaudus,619.4116203
Tympanoctomys_barrerae,393.6138703
Uintatherium_anceps,7329.928865
Ictidomys_tridecemlineatus,512.4506601
Vampyrum_spectrum,586.7617035
Viverra_tangalunga,1447.726753
Vulpes_pallida,1277.80427
Xiphiacetus_bossi,10863.70923
Zalophus_californianus,2705.986156
Zapus_hudsonius,250.7263966
Zodiolestes_sp,1490.242638
